NAME	prize	source	magnitude	terminal	type	degree	betweenness	louvain_clusters	location	general_process	specific_process.x	general_function	specific_function	robustness	specificity	ast_FC	ex_FC	in_FC	mic_FC	oli_FC	opc_FC	data_source	greedy_clusters	label_prop_cluster	tau_aggregation_FC	dpr_FC	lysosome_FC	ROS_oxidation_FC	essentiality_CRISPRa_FC	essentiality_CRISPRi_FC	drug_target	HD_locus	HD_functional	barplot	tau_modifier	specific_process	general_datatype
CRYAA2	0.00743931229108572	abeta drosophila phosphoproteomics	1.46972758770121	TRUE	protein	20	1.98219098686242e-05	8						0.01	0.1	NA	NA	NA	NA	NA	NA	abeta drosophila phosphoproteomics	4	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	drosophila phoshoproteomics
CRYAB	0.00743931229108572	abeta drosophila phosphoproteomics	1.46972758770121	TRUE	protein	118	0.000410621264421315	8	extracellular	biological regulation	nonspecific function	binding	protein binding	0.02	0.13	NA	NA	NA	NA	NA	NA	abeta drosophila phosphoproteomics	4	24	0	0	0	0	0	-1.740859119	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	HSF1-dependent transactivation	drosophila phoshoproteomics
CSE1L	0.95	tau fly genetic screen	0	TRUE	protein	165	0.00017417978150892	9	extracellular	cell proliferation		binding	protein binding	1	0.1	NA	NA	NA	NA	NA	NA	tau fly genetic screen	0	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	1	no characterized pathway	drosophila genetics
CSF1R	0		NA	FALSE	protein	37	4.87098053265316e-05	7	plasma_membrane	biological regulation	nonspecific function	binding	protein binding	0.47	0.08	NA	NA	NA	NA	NA	NA	steiner node	1	24	0	0	0	0	0	0	1	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Other interleukin signaling	steiner node
CSNK1A1	0.95	fly genetic screen	0	TRUE	protein	276	0.000320143181649506	9	nucleus	cellular process	cell communication	catalytic	transferase	1	0.06	NA	NA	NA	NA	NA	NA	fly genetic screen	0	24	0	0.00013	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Degradation of GLI2 by the proteasome	drosophila genetics
CSNK1E	0.95	fly genetic screen	0	TRUE	protein	214	0.000279248928159495	10	nucleus	cellular process	cellular response to stimulus	catalytic	transferase	1	0.07	NA	NA	NA	NA	NA	NA	fly genetic screen	0	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Mitotic Prometaphase	drosophila genetics
CSNK1G3	0.95	fly genetic screen	0	TRUE	protein	10	2.33984349546034e-05	10	cytoplasm	cellular process	cell communication	catalytic	transferase	1	0.07	NA	NA	NA	NA	NA	NA	fly genetic screen	0	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	cell communication	drosophila genetics
CSNK2A1	0.95	fly genetic screen	0	TRUE	protein	582	0.00198686354842938	0	nucleus	biological regulation	nonspecific function	catalytic	transferase	1	0.18	NA	NA	NA	NA	NA	NA	fly genetic screen	0	24	0	0	0	0	0	0	1	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Condensation of Prometaphase Chromosomes	drosophila genetics
CSNK2B	0.95	fly genetic screen	0	TRUE	protein	364	0.0012476157323198	0	extracellular	biological regulation	nonspecific function	binding	protein binding	1	0.15	NA	NA	NA	NA	NA	NA	fly genetic screen	0	24	0	0	0	1.472467501	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Condensation of Prometaphase Chromosomes	drosophila genetics
CSPG4	0.95	tau fly genetic screen	0	TRUE	protein	68	0.000172178634615194	9	plasma_membrane	cellular process	cell communication	binding	protein binding	1	0.06	NA	NA	NA	NA	NA	NA	tau fly genetic screen	0	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	-1	Defective CHST14 causes EDS, musculocontractural type	drosophila genetics
CTDP1	0.85	GWAS locus	0	TRUE	protein	86	1.95127087840609e-05	0	nucleus	cellular process	cell cycle	binding	protein binding	1	0.05	NA	NA	NA	NA	NA	NA	GWAS locus	0	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	RNA Polymerase II Transcription Elongation	human GWAS
CTNNB1	0.95	fly genetic screen	0	TRUE	protein	757	0.00289336994977778	9	plasma_membrane	biological regulation	nonspecific function	binding	protein binding	1	0.16	NA	NA	NA	NA	NA	NA	fly genetic screen	0	24	0	0	0	0	4.439530692	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Signaling by WNT in cancer	drosophila genetics
CTRC	0		NA	FALSE	protein	20	1.56888115014902e-05	9	extracellular	metabolic process	nitrogen compound metabolic process	catalytic	hydrolase	0.67	0.05	NA	NA	NA	NA	NA	NA	steiner node	16	11	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Cobalamin (Cbl, vitamin B12) transport and metabolism	steiner node
CTSD	0.95	tau fly genetic screen	0.0926111654210545	TRUE	protein	103	0.000166231842771012	13	vesicle	immune system process	immune effector process	catalytic	hydrolase	1	0.03	NA	NA	NA	NA	NA	NA	tau fly genetic screen	1	24	0	0	6.635896592	5.64196215	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	1	MHC class II antigen presentation	drosophila genetics
CUL1	0.95	fly genetic screen	0	TRUE	protein	785	0.00154608726204979	9	protein complex	cellular process	cell communication	catalytic	transferase	1	0.12	NA	NA	NA	NA	NA	NA	fly genetic screen	0	24	0	0	-2.361142774	-6.123119018	0	0	0	1	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Degradation of GLI2 by the proteasome	drosophila genetics
CUX1	0.95	fly genetic screen	0	TRUE	protein	42	7.52317523262406e-06	0	nucleus	biological regulation	nonspecific function	binding	organic cyclic compound binding	1	0.02	NA	NA	NA	NA	NA	NA	fly genetic screen	1	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	FGFR1 mutant receptor activation	drosophila genetics
CYB561	0		NA	FALSE	protein	60	9.61296918233986e-05	6	lysosome	metabolic process	cellular metabolic process	binding	protein binding	0.87	0.09	NA	NA	NA	NA	NA	NA	steiner node	3	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	steiner node
CYB5B	0.95	tau fly genetic screen	0	TRUE	protein	113	0.000310894016654597	11	mitochondria	metabolic process	oxidation-reduction process	binding	protein binding	1	0.16	NA	NA	NA	NA	NA	NA	tau fly genetic screen	3	24	0	0	0	0	3.110095322	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	1	Biological oxidations	drosophila genetics
CYCS	0.95	tau fly genetic screen	0	TRUE	protein	202	0.000237257824413111	11	mitochondria	cellular process	cellular response to stimulus	binding	protein binding	1	0.03	NA	-0.418237218852315	-0.367533327495864	NA	NA	NA	tau fly genetic screen	3	24	0	0	0	0	-2.496815048	-2.830672682	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	1	The citric acid (TCA) cycle and respiratory electron transport	drosophila genetics
CYFIP1	0		NA	FALSE	protein	44	3.62845636649132e-05	4	plasma_membrane	cellular process	cellular component organization	binding	protein binding	0.45	0.03	NA	NA	NA	NA	NA	NA	steiner node	0	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	cellular component organization	steiner node
CYGB	0.95	tau fly genetic screen	0	TRUE	protein	10	3.47407606287931e-06	1	nucleus	response to stimulus	response to chemical	catalytic	oxidoreductase	1	0.15	NA	NA	NA	NA	NA	NA	tau fly genetic screen	3	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	1	Intracellular oxygen transport	drosophila genetics
CYP21A2	0.0187558554455171	eGene	0.18	TRUE	protein	36	0.000188533258352635	11	ER	metabolic process	primary metabolic process	catalytic	oxidoreductase	0	0.08	NA	NA	NA	NA	NA	NA	eGene	3	24	0	0	0	3.336262745	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Biological oxidations	eGene
CYP3A4	0.461981550725797	drosophila tau proteomics	-1.54970537697888	TRUE	protein	110	0.0013419774201106	11	ER	metabolic process	cellular metabolic process	catalytic	oxidoreductase	1	0.1	NA	NA	NA	NA	NA	NA	drosophila tau proteomics	3	24	0	0	0	0	0	0	1	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Biological oxidations	drosophila proteomics
CYP3A43	0.461981550725797	drosophila tau proteomics	-1.54970537697888	TRUE	protein	36	1.12105964536757e-05	11	ER	metabolic process	oxidation-reduction process	catalytic	oxidoreductase	1	0.04	NA	-0.348754837913276	NA	NA	NA	NA	drosophila tau proteomics	3	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Biological oxidations	drosophila proteomics
CYP3A5	0.461981550725797	drosophila tau proteomics	-1.54970537697888	TRUE	protein	52	4.37295551666697e-05	11	ER	metabolic process	cellular metabolic process	catalytic	oxidoreductase	1	0.14	NA	-0.586771310413943	NA	NA	NA	NA	drosophila tau proteomics	3	24	0	0	0	0	0	0	1	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Biological oxidations	drosophila proteomics
CYP4V2	0.95	tau fly genetic screen	0	TRUE	protein	8	2.56245876727474e-06	11	ER	metabolic process	primary metabolic process	catalytic	oxidoreductase	1	0.05	NA	NA	NA	NA	NA	NA	tau fly genetic screen	3	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	1	Biological oxidations	drosophila genetics
Cer(d18:0/18:0)	0.8	male-specific APOE4 lipidomics	-1.44986590900798	TRUE	protein	65	7.42353651698805e-06	5						1	0.09	NA	NA	NA	NA	NA	NA	male-specific APOE4 lipidomics	5	25	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	human lipidomics
Cer(d18:1/18:0)	0.135108706540793	male-specific APOE4 lipidomics	-0.739998703691959	TRUE	protein	69	9.92100383804867e-06	5						0.15	0.06	NA	NA	NA	NA	NA	NA	male-specific APOE4 lipidomics	5	25	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	human lipidomics
Cer(d18:1/23:0)	0.625162383507216	female-specific APOE4 lipidomics	-0.611289829782273	TRUE	protein	65	7.42353651698805e-06	5						1	0.03	NA	NA	NA	NA	NA	NA	female-specific APOE4 lipidomics	5	25	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	human lipidomics
Cer(d18:1/24:0)	0.642399745170855	female-specific APOE4 lipidomics	-2.15901361046596	TRUE	protein	69	9.92100383804867e-06	5						1	0.07	NA	NA	NA	NA	NA	NA	female-specific APOE4 lipidomics	5	25	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	human lipidomics
Cer(d18:1/25:0)	0.8	female-specific APOE4 lipidomics	-1.8772276178787	TRUE	protein	69	9.92100383804867e-06	5						1	0.05	NA	NA	NA	NA	NA	NA	female-specific APOE4 lipidomics	5	25	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	human lipidomics
Cer(d18:1/26:0)	0.27519776045589	female-specific APOE4 lipidomics	-1.62345347718718	TRUE	protein	69	9.92100383804867e-06	5						1	0.01	NA	NA	NA	NA	NA	NA	female-specific APOE4 lipidomics	5	25	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	human lipidomics
Cholesterol	0		NA	FALSE	protein	27	5.56111047328519e-05	11						0.43	0.17	NA	NA	NA	NA	NA	NA	steiner node	3	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	steiner node
Choline	0		NA	FALSE	protein	32	3.58460524526771e-05	6						0.55	0.09	NA	NA	NA	NA	NA	NA	steiner node	3	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	steiner node
Citrulline	0		NA	FALSE	protein	19	6.37116294579129e-06	2						0.96	0.06	NA	NA	NA	NA	NA	NA	steiner node	17	18	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	steiner node
Coenzyme A	0		NA	FALSE	protein	215	0.000996733842506619	12						0.82	0.18	NA	NA	NA	NA	NA	NA	steiner node	3	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	steiner node
Cyclic AMP	0		NA	FALSE	protein	163	0.000831645151953722	10						0.91	0.36	NA	NA	NA	NA	NA	NA	steiner node	2	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	steiner node
DAGLB	0.95	tau fly genetic screen	0	TRUE	protein	1314	0.000145661648976561	3	lysosome	cellular process	cell communication	catalytic	hydrolase	1	0.14	NA	NA	NA	NA	NA	NA	tau fly genetic screen	3	24	0	0	0	0	0	0	1	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	1	Effects of PIP2 hydrolysis	drosophila genetics
DAPK1	0.85	GWAS locus	0	TRUE	protein	139	0.00024408063363022	7	cytoskeleton	cellular process	cellular response to stimulus	binding	protein binding	1	0.12	NA	NA	NA	NA	NA	NA	GWAS locus	2	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Caspase activation via Dependence Receptors in the absence of ligand	human GWAS
DCDC1	0		NA	FALSE	protein	8	5.02373654450539e-08	13		biological regulation	nonspecific function	binding	protein binding	0.43	0.03	NA	NA	NA	NA	NA	NA	steiner node	1	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	steiner node
DCTN1	0.150287663464753	abeta drosophila phosphoproteomics	-1.62009938550735	TRUE	protein	341	0.000356967731243677	13	cytoskeleton	cellular process	cellular component organization	binding	protein binding	0.72	0.03	NA	-0.695784375545464	-0.827700647806065	NA	NA	NA	abeta drosophila phosphoproteomics	1	24	0	3e-04	0	0	0	-4.601263488	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	MHC class II antigen presentation	drosophila phoshoproteomics
DDI1	0		NA	FALSE	protein	28	4.53197099819171e-05	1		metabolic process	nitrogen compound metabolic process	binding	protein binding	0.49	0.23	NA	NA	NA	NA	NA	NA	steiner node	3	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	nitrogen compound metabolic process	steiner node
DDX17	0.95	tau fly genetic screen	0	TRUE	protein	242	0.000119092144913508	9	nucleus	cellular process	cell communication	catalytic	hydrolase	1	0.02	0.298926730153751	NA	NA	NA	NA	NA	tau fly genetic screen	0	24	0	0	4.877219135	4.999176187	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	-1	SUMO E3 ligases SUMOylate target proteins	drosophila genetics
DDX3X	0.95	fly genetic screen	0	TRUE	protein	232	7.10330233411716e-05	9	nucleus	biological regulation	nonspecific function	binding	organic cyclic compound binding	1	0.17	NA	NA	NA	NA	NA	NA	fly genetic screen	0	24	0	0.00054	0	0	0	-2.954074648	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	drosophila genetics
DEDD	0		NA	FALSE	protein	34	5.28737027041838e-05	2	nucleus	reproduction	sexual reproduction	binding	protein binding	0.47	0.04	NA	NA	NA	NA	NA	NA	steiner node	2	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	sexual reproduction	steiner node
DEK	0.0389349167593102	abeta drosophila phosphoproteomics	1.65104331653843	TRUE	protein	61	3.15585336050184e-05	0	nucleus	biological regulation	nonspecific function	binding	protein binding	0	0.03	NA	NA	NA	NA	0.335543849177911	NA	abeta drosophila phosphoproteomics	0	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Transcriptional regulation of granulopoiesis	drosophila phoshoproteomics
DFNB31	0.95	tau fly genetic screen	0	TRUE	protein	5	1.57686953791224e-07	4						1	0.04	NA	NA	NA	NA	NA	NA	tau fly genetic screen	2	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	1	no characterized pathway	drosophila genetics
DHH	0.95	fly genetic screen	0	TRUE	protein	10	1.70199556693164e-06	5	plasma_membrane	cellular process	cellular developmental process	binding	ion binding	1	0.05	NA	NA	NA	NA	NA	NA	fly genetic screen	5	24	0	0	0	0	0	-4.614940827	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Ligand-receptor interactions	drosophila genetics
DHX36	0.95	tau fly genetic screen	0	TRUE	protein	82	3.50347859857923e-05	9	extracellular	biological regulation	nonspecific function	binding	organic cyclic compound binding	1	0.05	NA	NA	NA	NA	NA	NA	tau fly genetic screen	0	24	0	3e-04	0	0	0	-13.21173288	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	1	Cytosolic sensors of pathogen-associated DNA	drosophila genetics
DKC1	0.0185224488393323	abeta drosophila phosphoproteomics	1.06097809278319	TRUE	protein	146	0.000111445969099814	9	nucleus	biological regulation	nonspecific function	binding	organic cyclic compound binding	0.12	0.02	NA	NA	NA	NA	NA	NA	abeta drosophila phosphoproteomics	0	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	rRNA modification in the nucleus and cytosol	drosophila phoshoproteomics
DKK1	0		NA	FALSE	protein	18	1.06545561631643e-05	9	endosome	biological regulation	nonspecific function	binding	protein binding	0.9	0.19	NA	NA	NA	NA	NA	NA	steiner node	1	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Signaling by WNT in cancer	steiner node
DKKL1	0		NA	FALSE	protein	7	1.10490197096301e-05	5	extracellular	biological regulation	nonspecific function	binding	protein binding	1	0.05	NA	NA	NA	NA	NA	NA	steiner node	5	16	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	steiner node
DLG2	0.95	tau fly genetic screen	0	TRUE	protein	58	6.15571635518289e-05	7	plasma_membrane	cellular process	movement of cell or subcellular component	binding	protein binding	1	0.09	NA	0.262000917613377	NA	NA	NA	NA	tau fly genetic screen	2	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	1	Neurexins and neuroligins	drosophila genetics
DLG4	0.0644232439415764	human proteomics	-0.0905544330159882	TRUE	protein	168	0.000570046416571585	7	plasma_membrane	cellular process	cellular component organization	binding	protein binding	1	0.08	NA	NA	NA	NA	NA	NA	human proteomics	2	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Neurexins and neuroligins	human proteomics
DLL1	0.95	fly genetic screen	0	TRUE	protein	28	9.18935478278202e-06	4	plasma_membrane	developmental process	anatomical structure development	binding	protein binding	1	0.08	NA	NA	NA	NA	NA	NA	fly genetic screen	2	24	0	0	0	-3.927086706	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	drosophila genetics
DNM1L	0.363326610321598	human proteomics	-0.0938084583190364	TRUE	protein	60	3.94004465915812e-05	8	mitochondria	cellular process	cellular component organization	binding	protein binding	1	0.12	NA	-0.262772706642361	NA	NA	NA	NA	human proteomics	0	24	0	0	0	0	0	-5.380234531	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Apoptotic execution phase	human proteomics
DOC2A	0.0040958698464826	accessible GWAS locus	0	TRUE	protein	11	1.77987531860124e-06	6	vesicle	cellular process	cell communication	binding	protein binding	0.02	0.02	NA	NA	NA	NA	NA	NA	accessible GWAS locus	1	24	0	0	0	-2.873540669	0	-5.977630006	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	cell communication	human GWAS
DPP6	0.220824044198895	human proteomics	-0.130289630056646	TRUE	protein	4	1.78169500395782e-07	0	protein complex	biological regulation	nonspecific function	catalytic	hydrolase	0.99	0.04	NA	NA	NA	NA	NA	NA	human proteomics	2	24	0	0	0	0	0	0	0	1	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	human proteomics
DRD2	0		NA	FALSE	protein	296	0.000469202679661768	3	plasma_membrane	biological regulation	nonspecific function	binding	protein binding	0.69	0.08	NA	NA	NA	NA	NA	NA	steiner node	2	24	0	0	0	0	0	0	1	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Dopamine receptors	steiner node
DRD5	0.95	tau fly genetic screen	0	TRUE	protein	97	1.91264221140738e-05	3	plasma_membrane	biological regulation	nonspecific function	molecular transducer	signaling receptor	1	0.02	NA	NA	NA	NA	NA	NA	tau fly genetic screen	6	24	0	0	0	0	0	0	1	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	1	Dopamine receptors	drosophila genetics
DRICH1	0		NA	FALSE	protein	8	3.6221478348741e-07	10				binding	protein binding	0.9	0.13	NA	NA	NA	NA	NA	NA	steiner node	0	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	steiner node
DSG2	0.85	GWAS locus	0	TRUE	protein	57	9.3538086458829e-06	7	plasma_membrane	multicellular organismal process	multicellular organism development	binding	protein binding	1	0.04	NA	NA	NA	NA	NA	NA	GWAS locus	0	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Apoptosis	human GWAS
DUOXA1	0.95	fly genetic screen	0	TRUE	protein	3	7.02580860437338e-07	7	membrane	biological regulation	nonspecific function			1	0.04	NA	NA	NA	NA	NA	NA	fly genetic screen	1	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	drosophila genetics
DUSP10	0.95	tau fly genetic screen	0	TRUE	protein	58	2.53867454233754e-05	7	nucleus	biological regulation	nonspecific function	catalytic	hydrolase	1	0.06	NA	NA	NA	NA	NA	NA	tau fly genetic screen	2	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	1	Oncogenic MAPK signaling	drosophila genetics
